Date,Value,Category
2024-01-01,76.67305511893531,C
2024-01-02,48.43150337234463,C
2024-01-03,66.96964323496604,D
2024-01-04,0.11847600433799732,D
2024-01-05,72.40352384815091,D
2024-01-06,15.109716863215084,C
2024-01-07,57.89143566177981,D
2024-01-08,80.87587774072315,B
2024-01-09,7.483082577364142,B
2024-01-10,54.64377772562349,B
2024-01-11,17.369180691122622,A
2024-01-12,2.8569597088668464,D
2024-01-13,44.148644870852586,B
2024-01-14,23.408866217158632,A
2024-01-15,20.79556569912664,B
2024-01-16,8.408147459182647,A
2024-01-17,4.840940011189798,C
2024-01-18,42.881993609434865,C
2024-01-19,23.94400439334602,D
2024-01-20,54.00329098778822,A
2024-01-21,31.71497038705684,B
2024-01-22,79.4388499857891,B
2024-01-23,39.47675840750509,C
2024-01-24,81.20543193657377,C
2024-01-25,8.946471314982961,B
2024-01-26,25.356879631737193,C
2024-01-27,18.700907836253766,D
2024-01-28,74.3172295872763,C
2024-01-29,31.670454786981484,B
2024-01-30,78.54192607305824,C
2024-01-31,55.226156290237704,B
2024-02-01,46.04253011959967,C
2024-02-02,37.68259327104958,B
2024-02-03,4.268359443467462,B
2024-02-04,11.158220637004689,B
2024-02-05,26.4079369525702,A
2024-02-06,50.04655507082506,B
2024-02-07,94.58249849703788,B
2024-02-08,10.51921225538729,D
2024-02-09,66.4028071750968,C
2024-02-10,48.33743622229149,D
2024-02-11,14.37970310560427,A
2024-02-12,97.65641923014748,D
2024-02-13,83.29256003484534,C
2024-02-14,94.01419914598232,C
2024-02-15,42.76084865373024,B
2024-02-16,66.59188574635603,D
2024-02-17,21.653106032027626,C
2024-02-18,40.00958233273917,A
2024-02-19,24.630344090870338,C
2024-02-20,10.386780697172904,C
2024-02-21,41.637280184912115,D
2024-02-22,18.917749837055265,B
2024-02-23,82.39613685446679,C
2024-02-24,23.043968475487976,C
2024-02-25,46.33973976872111,A
2024-02-26,21.351327609994563,B
2024-02-27,45.932708005380185,D
2024-02-28,3.8340502921552777,B
2024-02-29,19.142175624179213,A
2024-03-01,99.7748090232242,A
2024-03-02,15.544317330493552,A
2024-03-03,0.8532646308714975,D
2024-03-04,50.687020207059696,A
2024-03-05,80.69759594779296,A
2024-03-06,16.9489470651618,B
2024-03-07,50.18857900444009,C
2024-03-08,3.4586644311968673,B
2024-03-09,87.85644674772654,A
2024-03-10,71.8362994926675,C
2024-03-11,8.851110910280147,B
2024-03-12,8.702862586236183,D
2024-03-13,50.43302567194583,A
2024-03-14,26.129450068872117,B
2024-03-15,95.95921496441439,A
2024-03-16,50.12145754842169,B
2024-03-17,29.87279784040522,A
2024-03-18,25.489567177562755,D
2024-03-19,36.65239240927358,D
2024-03-20,40.592288922895214,B
2024-03-21,32.59233907260127,A
2024-03-22,31.307340599647038,A
2024-03-23,64.6536757153675,D
2024-03-24,55.898706192108406,A
2024-03-25,33.18473028119248,B
2024-03-26,90.54569903680712,C
2024-03-27,3.200906118687985,C
2024-03-28,5.785370310906302,A
2024-03-29,83.73919445278366,B
2024-03-30,88.0143011222822,D
2024-03-31,97.08039182838898,A
2024-04-01,90.61830481365033,A
2024-04-02,2.583212630255516,A
2024-04-03,63.42581893980459,A
2024-04-04,73.01997705355335,B
2024-04-05,70.16084322399595,B
2024-04-06,5.172210810615974,C
2024-04-07,29.879374600908815,A
2024-04-08,51.90997894367402,C
2024-04-09,79.4642146538826,D
2024-04-10,89.1469956210805,A
2024-04-11,17.875503846761156,A
2024-04-12,38.571295880304746,A
2024-04-13,90.0092056112745,A
2024-04-14,22.138669351195407,A
2024-04-15,43.73155556616503,C
2024-04-16,19.763882330633788,B
2024-04-17,51.308449264061416,B
2024-04-18,29.490140807085364,C
2024-04-19,14.827478548058192,A
2024-04-20,23.317661624965258,D
2024-04-21,10.337325636652361,B
2024-04-22,60.94747320682502,D
2024-04-23,13.148875089887092,D
2024-04-24,90.13635841072426,A
2024-04-25,9.870065836122532,B
2024-04-26,2.977929013351577,C
2024-04-27,71.8988968769289,B
2024-04-28,89.66898898802634,A
2024-04-29,94.04981104359274,B
2024-04-30,35.51588110854882,D
2024-05-01,57.924131106249334,A
2024-05-02,68.48881048200003,D
2024-05-03,64.55776767555092,A
2024-05-04,49.34403748074953,D
2024-05-05,73.44767069432469,C
2024-05-06,92.41270898601934,A
2024-05-07,18.217659438489044,A
2024-05-08,98.18032908914768,A
2024-05-09,49.64544365183803,A
2024-05-10,40.717895113998225,D
2024-05-11,90.99717214143159,B
